[2024-08-07T13:45:13Z INFO  rhoevm] Starting EVM symbolic execution...
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x0, Opcode: PUSH1 Lit(0x80)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x2, Opcode: PUSH1 Lit(0x40)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x4, Opcode: MSTORE
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x5, Opcode: CALLVALUE
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x6, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7, Opcode: ISZERO
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8, Opcode: PUSH2 Lit(0xf)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xb, Opcode: JUMPI
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xf, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x10, Opcode: POP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x11, Opcode: PUSH2 Lit(0x231)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x15, Opcode: PUSH2 Lit(0x1d)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x18, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x19, Opcode: CODECOPY
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x1a, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x1b, Opcode: RETURN
[2024-08-07T13:45:13Z DEBUG rhoevm] ---------------
[2024-08-07T13:45:13Z DEBUG rhoevm] Base PC set to 0xc
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xc, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xd, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xe, Opcode: REVERT
[2024-08-07T13:45:13Z DEBUG rhoevm] ---------------
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xf, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x10, Opcode: POP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x11, Opcode: PUSH2 Lit(0x231)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x15, Opcode: PUSH2 Lit(0x1d)
